feature,importance
cat__route_DEN_ATL,5.321398566779569e-05
cat__route_MCO_BOS,5.304599851241179e-05
cat__route_LAX_SEA,5.0508750164206515e-05
cat__route_SEA_SFO,5.002168565093556e-05
cat__route_LAS_FLL,4.8579766375910185e-05
cat__route_ATL_JFK,4.8481766570816656e-05
cat__route_BOS_SJU,4.8408989864019624e-05
cat__route_DEN_LAS,4.835274295251196e-05
cat__route_SFO_BOS,4.804296504446052e-05
cat__route_BOS_LGA,4.762291904530074e-05
cat__route_LAS_SMF,4.742692036000635e-05
cat__route_LAX_SFO,4.683863975457465e-05
cat__route_EWR_MIA,4.611534042904509e-05
cat__route_DEN_HOU,4.504328747422661e-05
cat__route_SFO_EWR,4.482122816487555e-05
cat__route_SEA_BOI,4.421138288912358e-05
cat__Dest_ANC,4.394663262120628e-05
cat__route_LAS_OAK,4.2915486637141904e-05
cat__Dest_IAD,4.284171655139155e-05
cat__route_LAS_MSP,4.26035325092356e-05
cat__route_ATL_CLT,4.2344834458737304e-05
cat__route_EWR_SJU,4.1969968091233416e-05
cat__Dest_RSW,4.130041195340993e-05
cat__route_BOS_ORD,4.0539914723671915e-05
cat__route_MCO_ATL,4.0219775104735105e-05
cat__Dest_MFR,3.948271482957884e-05
cat__Dest_BNA,3.901918839929402e-05
cat__route_LAS_BWI,3.825338216929246e-05
cat__route_JFK_MIA,3.813965707810905e-05
cat__route_ATL_GSP,3.801441836962084e-05
cat__route_SFO_SNA,3.7852732599395735e-05
cat__route_DCA_BOS,3.780390229895813e-05
cat__route_LGA_PBI,3.714920340506815e-05
cat__Dest_IAH,3.7025735589188226e-05
cat__Dest_PHX,3.6645533072986786e-05
cat__Dest_JAN,3.6512494948327446e-05
cat__Dest_GEG,3.604785488409699e-05
cat__Dest_SMF,3.584620569991374e-05
cat__Dest_SAN,3.517856580706133e-05
cat__route_BOS_FLL,3.474303347398592e-05
cat__route_LAX_JFK,3.469266586593264e-05
cat__route_LAS_SAN,3.46264944365362e-05
cat__Dest_STL,3.449159830723627e-05
cat__route_MIA_LGA,3.440741727650345e-05
cat__route_PHX_IAH,3.3969226466992484e-05
cat__route_DCA_FLL,3.3427234522437634e-05
cat__route_SEA_EUG,3.328601733099725e-05
cat__Dest_MSY,3.321749524805779e-05
cat__route_DCA_ORD,3.318192868504726e-05
cat__route_LAS_DAL,3.2937174074404806e-05
cat__route_LGA_MIA,3.2765281432462874e-05
cat__route_EWR_PBI,3.274062064447041e-05
cat__route_ATL_LGA,3.2592466864553916e-05
cat__Dest_ABE,3.241694904588233e-05
cat__Dest_RDU,3.190242688624809e-05
cat__route_LAS_MCO,3.127533350256008e-05
cat__route_BOS_PBI,3.126494249404476e-05
cat__Dest_PDX,3.09271956729027e-05
cat__route_DEN_RDU,3.0579570344759166e-05
cat__route_ATL_SDF,3.0097441975705407e-05
cat__Dest_AVL,3.0072636489422494e-05
cat__Dest_RIC,3.0042873385620914e-05
cat__Dest_SJC,2.966892164821559e-05
cat__route_LAX_EWR,2.8940361377254568e-05
cat__Dest_DAY,2.849662950629739e-05
cat__route_MCO_MDW,2.8310712331417937e-05
cat__Dest_AUS,2.8026993551312697e-05
cat__route_EWR_PDX,2.7990514190309164e-05
cat__Dest_CHA,2.789337963355792e-05
cat__route_SEA_SJC,2.760250192153399e-05
cat__Dest_CVG,2.7409102804332306e-05
cat__route_LAX_MCO,2.7029788614187866e-05
cat__Dest_RDM,2.6784468560150233e-05
cat__route_LGA_ORD,2.6527366996121486e-05
cat__Dest_BDL,2.6469761128647515e-05
cat__route_LAS_HOU,2.6436438770000394e-05
cat__route_JFK_SFO,2.636875923433715e-05
cat__route_EWR_ORD,2.634928841432701e-05
cat__Dest_PIT,2.5900970304249938e-05
cat__route_CLT_MCO,2.5509979788773337e-05
cat__route_DEN_SFO,2.510402029330252e-05
cat__route_ATL_TUL,2.499805452745337e-05
cat__route_DEN_PHL,2.4211429875006382e-05
cat__route_JFK_TPA,2.41505999354758e-05
cat__route_DEN_BNA,2.4086578944039643e-05
cat__Dest_MKE,2.4082171474606647e-05
cat__route_MCO_BDL,2.3940049386103068e-05
cat__Dest_GSP,2.3699141911224167e-05
cat__Dest_IND,2.3453246926273713e-05
cat__route_DTW_MCO,2.343866998784005e-05
cat__route_LAX_OAK,2.3428102555660192e-05
cat__route_MSP_DTW,2.3317534075911297e-05
cat__Dest_RNO,2.3310970339981155e-05
cat__Dest_JAX,2.3111747668903937e-05
cat__Dest_MCI,2.245589216760833e-05
cat__route_SFO_SAN,2.2293598049847524e-05
cat__route_DEN_RNO,2.2260813134785996e-05
cat__Dest_GNV,2.2187772364515873e-05
cat__Dest_EUG,2.2185493664047438e-05
cat__Dest_AEX,2.212705094253349e-05
cat__route_JFK_RSW,2.209915445589514e-05
cat__route_ATL_MCO,2.1945786680821245e-05
cat__route_JFK_CLE,2.191025138758538e-05
cat__Dest_GPT,2.1895087348257557e-05
cat__route_CLT_ATL,2.184764087734508e-05
cat__route_PHX_LAX,2.174092683698501e-05
cat__route_JFK_PHX,2.16519546998405e-05
cat__Dest_ABI,2.1518419089102366e-05
cat__route_PHX_PHL,2.1201105432626787e-05
cat__Dest_SDF,2.1074712494935543e-05
cat__route_ATL_GNV,2.09572177535604e-05
cat__route_MSP_MDW,2.0897398564203722e-05
cat__route_LAS_SEA,2.081012031721873e-05
cat__route_PHX_SEA,2.072723162598427e-05
cat__route_DEN_MSP,2.0598287084935815e-05
cat__route_SEA_ANC,2.056830053807202e-05
cat__route_LAS_ATL,2.056722137857411e-05
cat__route_EWR_IAD,2.0542435515381023e-05
cat__route_SFO_PHX,2.0262353317946562e-05
cat__route_DFW_MCO,2.019455019337929e-05
cat__route_EWR_SAN,2.01399384975102e-05
cat__route_SFO_DTW,1.9740163226228195e-05
cat__route_PHX_LAS,1.9504287395045436e-05
cat__Dest_TUL,1.93924027113034e-05
cat__Dest_SRQ,1.9305284518885074e-05
cat__Dest_TLH,1.9170940695057055e-05
cat__route_DEN_DFW,1.9152244010480017e-05
cat__route_LAX_PDX,1.9118806053754358e-05
cat__route_ATL_CHA,1.903381283050651e-05
cat__Dest_MLU,1.895530240870413e-05
cat__Dest_GSO,1.8881641010268964e-05
cat__route_LAX_SJC,1.8816979951401625e-05
cat__route_LAS_SLC,1.873430826749919e-05
cat__route_LAS_JFK,1.859463040138505e-05
cat__route_DEN_STL,1.8497559262334352e-05
cat__route_LAS_PHX,1.846897583738918e-05
cat__route_LGA_TPA,1.8274483915810457e-05
cat__Dest_CWA,1.8212027160042093e-05
cat__route_DEN_JFK,1.8162475220967697e-05
cat__Dest_SAT,1.809420412779913e-05
cat__route_LGA_ATL,1.8058887977736838e-05
cat__Dest_COS,1.7872117827482533e-05
cat__route_JFK_SLC,1.7819164142765684e-05
cat__route_SFO_PSP,1.779970689199496e-05
cat__route_ATL_XNA,1.7741056447586814e-05
cat__route_ATL_GSO,1.771799733989784e-05
cat__route_IAH_DAL,1.760213664984039e-05
cat__route_IAH_FLL,1.757914486520416e-05
cat__route_EWR_BOS,1.7572971453155007e-05
cat__route_LAX_LAS,1.75666244270075e-05
cat__Dest_DSM,1.7450465073980575e-05
cat__Dest_BOI,1.7399670484950184e-05
cat__route_ATL_DAL,1.7360062441706116e-05
cat__route_IAH_LAX,1.7287128091078904e-05
cat__route_DEN_BOS,1.7266069851371703e-05
cat__route_BOS_JFK,1.724949448566724e-05
cat__Dest_GGG,1.7226127526339736e-05
cat__route_ATL_LEX,1.7193380833131428e-05
cat__route_DCA_MCO,1.7118183352346856e-05
cat__route_DFW_LAS,1.707696513939491e-05
cat__route_ATL_AVL,1.7071382886072297e-05
cat__Dest_CLE,1.7013290387433363e-05
cat__route_ATL_BTR,1.688754766018539e-05
cat__Dest_TTN,1.6882665783127318e-05
cat__route_MCO_HNL,1.6864639985748905e-05
cat__route_BOS_PHL,1.6836717629327307e-05
cat__route_JFK_PIT,1.682692825548028e-05
cat__route_ATL_MDT,1.6586706150429556e-05
cat__Reporting_Airline_HA,1.6557369236834966e-05
cat__route_SEA_SAN,1.6515303732341714e-05
cat__route_SEA_SLC,1.641581399070057e-05
cat__route_LAS_LAX,1.6390012368984947e-05
cat__route_LAX_BOS,1.629107427115578e-05
cat__Dest_CMH,1.6268704523927683e-05
cat__route_SEA_PDX,1.6267749157211444e-05
cat__route_LAS_SNA,1.625414298232225e-05
cat__route_EWR_DEN,1.6125125142206895e-05
cat__route_LGA_DAL,1.6076909263474802e-05
cat__route_ORD_DAL,1.6060463687187447e-05
cat__route_PHX_CLT,1.5902689107445312e-05
cat__route_DTW_LEX,1.5879847489179594e-05
cat__route_PHX_JFK,1.5595021811978505e-05
cat__Dest_SYR,1.5524925347174634e-05
cat__Dest_PSC,1.5482684333442447e-05
cat__route_JFK_DEN,1.546512104733282e-05
cat__route_ATL_CAE,1.537647341138534e-05
cat__route_DEN_ABQ,1.531759825236588e-05
cat__route_SEA_ATL,1.529634677421025e-05
cat__route_MCO_LAX,1.5285707844053852e-05
cat__route_ATL_HPN,1.5278920967125375e-05
cat__Dest_TYS,1.5258604222021055e-05
cat__route_LAX_HNL,1.5188225043455807e-05
cat__route_DFW_SPS,1.517964523270961e-05
cat__Dest_OKC,1.5011325575137861e-05
cat__route_ORD_LGA,1.4948639344847058e-05
cat__route_ATL_IAH,1.4906692672243611e-05
cat__route_LAS_RNO,1.4792976318293125e-05
cat__route_PHX_ATL,1.4640247155911052e-05
cat__Dest_VPS,1.4601454578861647e-05
cat__route_ATL_TLH,1.4529884126462432e-05
cat__route_MCO_DTW,1.4487962018198418e-05
cat__Dest_AZO,1.4438494588699719e-05
cat__route_MCO_TTN,1.436850154748963e-05
cat__route_ATL_ICT,1.4308631433555239e-05
cat__route_ATL_LAX,1.4218549112663488e-05
cat__route_SFO_BUR,1.397656719895083e-05
cat__route_DEN_CMH,1.3917657395377561e-05
cat__route_DTW_JFK,1.3911022938836199e-05
cat__route_DTW_CVG,1.388942280063917e-05
cat__Dest_ONT,1.3792679750368168e-05
