feature,importance
cat__Dest_DCA,5.337289825278469e-05
cat__route_SEA_MFR,5.185275862100124e-05
cat__route_SFO_EWR,5.1794337702119855e-05
cat__Dest_IAD,5.003275307557024e-05
cat__route_LAX_SEA,4.936922320222562e-05
cat__route_MCO_LAS,4.934044883531505e-05
cat__Dest_PHL,4.703283218871954e-05
cat__Dest_GSO,4.689518340710132e-05
cat__route_DFW_LAS,4.659848211928435e-05
cat__Dest_SAN,4.547048827870056e-05
cat__route_LAX_SMF,4.535963584019493e-05
cat__route_LAS_DAL,4.507476428700148e-05
cat__route_ATL_GNV,4.5043606378887534e-05
cat__Dest_STL,4.5022848949868524e-05
cat__Dest_PHX,4.346299082131305e-05
cat__route_LAX_SFO,4.247785131338157e-05
cat__route_BOS_TPA,4.231390373519168e-05
cat__Dest_ANC,4.160446908601829e-05
cat__Reporting_Airline_HA,4.1058741190812595e-05
cat__route_MIA_EWR,4.045670659691798e-05
cat__Dest_PDX,3.968874392838196e-05
cat__route_JFK_ATL,3.96238348512466e-05
cat__route_LAS_STL,3.9442235708881246e-05
cat__route_EWR_SJU,3.927533305155782e-05
cat__route_BOS_DCA,3.886919373744007e-05
cat__route_LGA_BOS,3.811954433668384e-05
cat__Dest_CVG,3.776505428408504e-05
cat__route_LAS_MCO,3.774465721549156e-05
cat__route_JFK_MIA,3.664823291118766e-05
cat__route_EWR_PDX,3.6573590705173784e-05
cat__route_MSP_SEA,3.609715448370584e-05
cat__route_BOS_FLL,3.594393017682956e-05
cat__route_DEN_BUR,3.591797598290909e-05
cat__route_SFO_JFK,3.583568427558023e-05
cat__route_DEN_SFO,3.583482435510524e-05
cat__route_SEA_SFO,3.497245286194526e-05
cat__route_JFK_SFO,3.488422491541582e-05
cat__route_SFO_DTW,3.48800258795956e-05
cat__route_JFK_BOS,3.451799482682793e-05
cat__Dest_SMF,3.421791402324994e-05
cat__route_BOS_LGA,3.410943865770245e-05
cat__Dest_MCI,3.407774977145969e-05
cat__route_MCO_BDL,3.400439969442824e-05
cat__route_EWR_FLL,3.28733383243754e-05
cat__route_ATL_LGA,3.2797962783179066e-05
cat__Dest_PIT,3.2129968762261095e-05
cat__route_MCO_PHL,3.1694760873617e-05
cat__Dest_GNV,3.160694223202827e-05
cat__route_EWR_MIA,3.1556711524023234e-05
cat__route_BOS_SJU,3.1174444524312294e-05
cat__route_DCA_AUS,3.0271616586400446e-05
cat__route_DEN_TUS,3.020499604631175e-05
cat__route_ATL_CLT,3.017784043845106e-05
